# Z1 Z2     a1   b1[1/Ang]  a2     b2[1/Ang]   a3    b3[1/Ang] error(V>30) error(V>10)
 2 15  0.25952  20.45628  0.74048  3.58266  0.00000  0.00000  3.68%  6.06%
 2 16  0.20868  25.61218  0.79132  3.87320  0.00000  0.00000  4.34%  6.88%
 2 17  0.28864  18.00218  0.71136  3.53938  0.00000  0.00000  2.30%  4.27%
 2 18  0.19272  24.75324  0.70094  4.62159  0.10634  1.28285  2.24%  2.66%
 2 19  0.20270  24.32473  0.70978  4.49734  0.08753  1.19522  1.58%  3.23%
 2 20  0.18320  26.31901  0.67363  4.90317  0.14317  1.70351  1.40%  2.39%
 2 21  0.17699  27.33375  0.67026  5.00029  0.15275  1.99688  1.27%  2.71%
 2 22  0.15789  30.18575  0.65196  5.32790  0.19016  2.36762  1.25%  2.16%
 2 23  0.13741  33.60655  0.58708  5.89768  0.27551  2.84741  1.33%  1.93%
 2 24  0.12448  36.22323  0.55066  6.30126  0.32486  3.14230  1.30%  2.14%
 2 25  0.11128  39.68857  0.46829  6.94100  0.42042  3.55705  1.26%  1.78%
 2 26  0.10241  42.16227  0.43432  7.41625  0.46327  3.77374  1.30%  2.54%
 2 27  0.08602  47.87058  0.38803  8.35485  0.52595  4.00419  1.45%  2.78%
 2 28  0.07497  53.58743  0.40094  8.73451  0.52408  4.06738  1.51%  2.46%
 2 29  0.05932  66.01636  0.49324  8.80409  0.44744  3.70330  1.55%  2.22%
 2 30  0.04983  79.82594  0.60757  8.49164  0.34259  3.13860  1.59%  2.00%
 2 31  0.58154  10.34381  0.41846  3.34814  0.00000  0.00000  1.93%  1.98%
 2 32  0.54041  11.26367  0.45959  3.47667  0.00000  0.00000  2.11%  2.57%
 2 33  0.02070 182.95700  0.47938 11.83738  0.49991  3.62650  2.42%  3.33%
 2 34  0.44104  14.10635  0.55896  3.83431  0.00000  0.00000  2.80%  3.94%
 2 35  0.49750  12.88030  0.49980  3.55174  0.00269  0.00000  1.51%  1.45%
 2 36  0.40489  14.86888  0.49575  4.60954  0.09935  1.62678  1.33%  1.56%
 2 37  0.38313  15.79086  0.48546  4.85964  0.13141  1.86568  1.28%  1.70%
 2 38  0.37602  16.37762  0.46226  5.00208  0.16172  2.06465  1.15%  1.44%
 2 39  0.34793  17.40402  0.34840  5.99758  0.30367  2.75088  1.11%  1.19%
 2 40  0.37314  17.08919  0.27095  5.89677  0.35591  3.02414  1.00%  1.38%
 2 41  0.02995 104.65614  0.45431 13.39011  0.51574  3.47904  1.03%  1.23%
 2 42  0.01841 171.11637  0.42548 14.99676  0.55611  3.67592  0.87%  1.46%
 2 43  0.40446  17.46365  0.59554  3.86552  0.00000  0.00000  0.76%  1.87%
 2 44  0.39107  18.15503  0.60893  3.95456  0.00000  0.00000  0.79%  2.18%
 2 45  0.38513  18.45992  0.61487  4.01394  0.00000  0.00000  0.74%  1.90%
 2 46  0.01871 154.42745  0.38194 16.70089  0.59935  3.98203  0.77%  1.43%
 2 47  0.28832  22.74152  0.33385  6.64612  0.37782  3.33126  0.74%  1.07%
 2 48  0.25189  25.44388  0.44512  6.73311  0.30299  2.92235  0.99%  1.39%
 2 49  0.20309  29.19319  0.42767  8.05494  0.36925  3.09496  1.27%  1.82%
 2 50  0.16992  32.45704  0.41919  9.15616  0.41089  3.20603  1.31%  2.46%
 2 51  0.10158  43.48423  0.42259 11.62630  0.47583  3.37688  1.44%  3.00%
 2 52  0.06018  61.27580  0.42936 13.47385  0.51047  3.48961  1.69%  3.47%
 2 53  0.12100  40.01653  0.43009 10.96062  0.44891  3.19557  1.13%  1.98%
 2 54  0.44413  16.98362  0.51449  3.85049  0.04137  1.27715  1.50%  1.40%
 2 55  0.30036  23.07076  0.49448  5.82524  0.20517  2.34987  1.34%  1.75%
 2 56  0.26900  25.22640  0.48503  6.39474  0.24597  2.58062  1.24%  1.55%
 2 57  0.29962  23.63174  0.33128  7.07561  0.36911  2.87529  1.11%  1.20%
 2 58  0.33396  21.14428  0.58879  5.00318  0.07725  1.76824  1.39%  1.34%
 2 59  0.31408  22.33459  0.60777  5.20017  0.07815  1.79322  1.29%  1.27%
 2 60  0.30474  22.95584  0.62187  5.29525  0.07339  1.76557  1.29%  1.27%
 2 61  0.29892  23.44603  0.63419  5.35046  0.06689  1.71397  1.25%  1.27%
 2 62  0.29307  23.94060  0.64416  5.42026  0.06277  1.68273  1.28%  1.34%
 2 63  0.28787  24.36451  0.65169  5.49865  0.06044  1.67095  1.34%  1.47%
 2 64  0.29096  23.38542  0.61823  5.70941  0.09081  2.17814  1.41%  1.45%
 2 65  0.28689  24.36444  0.65900  5.59546  0.05411  1.60687  1.25%  1.55%
 2 66  0.27139  25.65093  0.66595  5.81115  0.06266  1.73757  1.18%  1.47%
 2 67  0.26103  26.59285  0.66878  5.98805  0.07019  1.84286  1.17%  1.44%
 2 68  0.24403  28.17614  0.66712  6.29139  0.08886  2.05102  1.07%  1.26%
 2 69  0.23079  29.53980  0.66056  6.57286  0.10866  2.21714  1.08%  1.30%
 2 70  0.23787  27.99936  0.63067  6.75755  0.13145  2.35011  1.30%  1.31%
 2 71  0.16292  39.17850  0.61905  7.98377  0.21803  2.92357  0.75%  0.99%
 2 72  0.14946  41.84829  0.57445  8.72511  0.27609  3.27058  0.68%  1.00%
 2 73  0.12034  49.34025  0.55072  9.74146  0.32893  3.50870  0.57%  1.20%
 2 74  0.09548  58.72660  0.52845 10.82004  0.37607  3.71645  0.55%  1.52%
 2 75  0.07184  73.46089  0.50878 12.03733  0.41937  3.90326  0.69%  1.84%
 2 76  0.07030  74.39517  0.50207 12.29321  0.42763  3.94695  0.58%  2.66%
 2 77  0.06922  75.29183  0.49854 12.47921  0.43224  3.96950  0.54%  2.21%
 2 78  0.08199  66.01221  0.50273 11.96730  0.41528  3.88299  0.50%  1.28%
 2 79  0.14755  42.10194  0.53658  9.61309  0.31587  3.38697  0.65%  0.61%
 2 80  0.19203  33.75930  0.55533  8.56432  0.25264  2.99773  0.76%  0.82%
 2 81  0.15400  40.71472  0.56861  9.30963  0.27739  3.06741  0.85%  1.30%
 2 82  0.11010  52.87743  0.57579 10.47019  0.31410  3.16642  0.89%  1.86%
 2 83  0.08685  63.97477  0.57410 11.30912  0.33905  3.25267  1.20%  2.60%
 2 84  0.06681  79.97290  0.56788 12.21838  0.36532  3.34160  1.48%  3.16%
 2 85  0.09126  61.39103  0.57722 11.32682  0.33153  3.09633  0.96%  1.40%
 2 86  0.58780  14.77825  0.38529  3.65723  0.02690  1.27749  1.64%  1.48%
 2 87  0.56650  15.44451  0.38958  3.84301  0.04392  1.53189  1.39%  1.28%
 2 88  0.19896  32.73718  0.50799  9.53468  0.29305  2.78484  1.47%  2.42%
 2 89  0.13034  44.78990  0.54355 10.91031  0.32610  2.92284  1.16%  1.80%
 2 90  0.08546  62.65290  0.55641 12.23266  0.35813  3.05964  0.85%  1.47%
 2 91  0.44658  19.44933  0.44443  4.98902  0.10899  2.57728  0.90%  1.50%
 2 92  0.45385  19.46568  0.50763  4.61944  0.03852  1.92858  0.80%  0.96%
 3  3  0.17769  18.89231  0.82231  2.99930  0.00000  0.00000  1.38%  1.50%
 3  4  0.10864  27.10078  0.86019  3.73056  0.03117  0.00000  1.74%  2.16%
 3  5  0.08254  33.40116  0.89455  4.07957  0.02290  0.00000  1.58%  1.52%
 3  6  0.06018  42.85668  0.92448  4.44254  0.01534  0.00000  1.53%  1.48%
 3  7  0.04377  55.37370  0.94667  4.81111  0.00957  0.00000  1.51%  1.45%
 3  8  0.78916   6.24597  0.21084  2.48035  0.00000  0.00000  2.12%  3.21%
 3  9  0.50760   8.82168  0.49240  3.18079  0.00000  0.00000  3.90%  7.14%
 3 10  0.43573  11.27982  0.56427  3.06935  0.00000  0.00000  4.52%  6.90%
 3 11  0.38253  13.11823  0.61747  3.17312  0.00000  0.00000  3.73%  4.13%
 3 12  0.40581  12.80556  0.59419  3.03473  0.00000  0.00000  2.52%  3.89%
 3 13  0.37222  14.10579  0.62778  3.16924  0.00000  0.00000  2.31%  4.17%
 3 14  0.32683  16.21560  0.67317  3.37768  0.00000  0.00000  2.25%  3.52%
 3 15  0.27691  19.28692  0.72309  3.62585  0.00000  0.00000  2.20%  2.91%
 3 16  0.24221  21.61737  0.75081  3.88602  0.00698  0.00000  1.86%  2.04%
 3 17  0.18814  25.40431  0.69250  4.75131  0.11936  1.76149  2.35%  4.75%
 3 18  0.13113  31.73795  0.59063  6.18777  0.27825  2.21221  2.48%  4.21%
 3 19  0.11223  35.81262  0.57897  6.67860  0.30880  2.31046  2.22%  3.52%
 3 20  0.09920  39.78962  0.56490  7.06637  0.33590  2.47990  2.14%  3.28%
 3 21  0.08288  45.02670  0.48223  8.11623  0.43489  2.96329  2.30%  3.98%
 3 22  0.08395  45.65449  0.45114  8.29772  0.46492  3.23156  2.02%  3.94%
 3 23  0.07441  49.17676  0.39445  9.18496  0.53114  3.56530  2.02%  3.54%
 3 24  0.05574  58.83911  0.34016 10.91400  0.60410  3.86887  2.31%  4.21%
 3 25  0.04975  64.91783  0.32273 11.55425  0.62752  4.05083  2.40%  4.76%
 3 26  0.04392  72.85416  0.32132 11.97576  0.63476  4.17136  2.43%  4.42%
 3 27  0.35085  14.08524  0.64915  4.28585  0.00000  0.00000  2.58%  4.00%
 3 28  0.37371  13.66500  0.62629  4.25009  0.00000  0.00000  2.46%  3.82%
 3 29  0.47126  11.82463  0.52874  3.86976  0.00000  0.00000  1.88%  2.14%
 3 30  0.05711  67.19694  0.57342  8.89695  0.36946  3.26335  1.47%  3.00%
 3 31  0.04771  79.01843  0.56370  9.45000  0.38859  3.29605  1.47%  2.54%
 3 32  0.03775  97.72915  0.53313 10.31656  0.42912  3.42401  1.51%  2.13%
 3 33  0.02914 124.77221  0.49660 11.37200  0.47426  3.58429  1.57%  2.00%
 3 34  0.46894  13.50971  0.52795  3.79102  0.00310  0.00000  1.50%  1.90%
 3 35  0.30874  17.80941  0.46430  5.88466  0.22696  2.64102  1.89%  3.22%
 3 36  0.26585  20.05272  0.51733  6.27167  0.21682  2.36368  1.73%  2.41%
 3 37  0.28199  19.78993  0.50145  6.14312  0.21656  2.33448  1.47%  1.91%
 3 38  0.26766  20.97607  0.49145  6.39231  0.24089  2.45147  1.43%  1.77%
 3 39  0.21834  23.65359  0.42647  7.83614  0.35518  2.95747  1.55%  2.82%
 3 40  0.19780  24.82319  0.37392  8.96998  0.42828  3.26821  1.55%  2.77%
 3 41  0.14891  28.79454  0.36260 10.67468  0.48849  3.51682  1.44%  3.47%
 3 42  0.02741 110.40547  0.42480 14.51307  0.54779  3.74241  1.68%  4.02%
 3 43  0.02219 134.01646  0.40809 15.45896  0.56972  3.86448  1.67%  4.47%
 3 44  0.01883 157.68893  0.39722 16.18914  0.58395  3.95267  1.79%  4.81%
 3 45  0.01921 151.97084  0.38882 16.50287  0.59197  4.01870  1.82%  4.39%
 3 46  0.10038  39.94895  0.37116 12.36947  0.52845  3.79341  1.61%  3.84%
 3 47  0.13134  36.49917  0.41621 10.32415  0.45245  3.47953  1.57%  2.69%
 3 48  0.18247  30.73190  0.45058  8.45221  0.36695  3.14219  1.34%  1.69%
 3 49  0.16116  33.49774  0.45518  9.01698  0.38366  3.17705  1.36%  1.60%
 3 50  0.13548  37.38948  0.45356  9.87066  0.41096  3.24971  1.38%  1.69%
 3 51  0.09915  45.34494  0.45149 11.27177  0.44936  3.35041  1.53%  2.23%
 3 52  0.10606  43.35805  0.44581 11.23313  0.44813  3.31136  1.47%  2.38%
 3 53  0.45027  16.65207  0.48747  3.98444  0.06226  1.99700  1.55%  1.92%
 3 54  0.41911  17.88085  0.49509  4.33217  0.08581  1.80392  1.48%  1.98%
 3 55  0.29567  23.21304  0.53697  5.80785  0.16736  2.19666  1.37%  1.45%
 3 56  0.24674  26.81964  0.52670  6.64672  0.22656  2.54626  1.34%  1.54%
 3 57  0.36798  20.59998  0.40498  5.17598  0.22703  2.60922  1.35%  2.24%
 3 58  0.27941  24.71891  0.60788  5.71821  0.11271  2.05388  1.49%  1.72%
 3 59  0.26320  26.23745  0.62730  5.85583  0.10950  2.07961  1.64%  2.04%
 3 60  0.26605  25.96775  0.63305  5.83588  0.10090  2.05723  1.57%  2.44%
 3 61  0.25587  26.84216  0.63615  6.00499  0.10798  2.15614  1.54%  2.31%
 3 62  0.24524  27.84096  0.63910  6.18469  0.11565  2.25314  1.44%  1.99%
